City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
321,verkhoyansk,67.5447,133.385,-47.15,100,98,0.76,RU,1674444057
322,roald,62.5833,6.1333,7.08,61,40,8.23,NO,1674444057
323,pop,40.8736,71.1089,-6.73,74,85,1.91,UZ,1674444058
324,touros,-5.1989,-35.4608,26.38,78,16,4.7,BR,1674444037
325,saint-pierre,-21.3393,55.4781,23.82,78,75,2.57,RE,1674444059
326,stephenville crossing,48.5,-58.4318,-1.93,80,100,5.66,CA,1674444059
327,rio grande,-32.035,-52.0986,22.2,82,0,2.05,BR,1674444060
328,san matias,-16.3667,-58.4,26.16,73,75,2.64,BO,1674444060
329,kribi,2.95,9.9167,25.7,85,56,2.36,CM,1674444061
330,ledyard,41.4398,-72.0142,8.51,94,100,4.12,US,1674444061
331,la concordia,13.1953,-86.1667,16.38,81,6,1.8,NI,1674444062
332,nikolskoye,59.7035,30.7861,-4.06,95,99,1.03,RU,1674444063
333,mananjary,-21.2167,48.3333,23.26,94,100,1.49,MG,1674444064
334,tucurui,-3.7661,-49.6725,23.29,90,88,1.65,BR,1674444065
335,kushima,31.4583,131.2333,10.74,87,100,3.74,JP,1674444067
336,dunedin,-45.8742,170.5036,17.11,52,5,4.92,NZ,1674444068
337,sechura,-5.5569,-80.8222,22.33,76,28,3.62,PE,1674444069
338,peru,40.7537,-86.0689,0.29,94,100,2.06,US,1674444070
339,banjar,-8.19,114.9675,30.55,56,21,1.14,ID,1674444071
340,castro,-24.7911,-50.0119,17.59,95,100,0.23,BR,1674444072
341,kita,13.0349,-9.4895,23.52,19,80,1.28,ML,1674444073
342,port-cartier,50.0334,-66.8654,-8.18,93,100,1.42,CA,1674444074
343,xinyu,27.8043,114.9334,7.92,89,100,2.16,CN,1674444075
344,marquette,46.5333,-87.6335,-4.8,94,98,1.62,US,1674444076
345,brenham,30.1669,-96.3977,9.1,63,0,0.0,US,1674444077
346,nabire,-3.3667,135.4833,27.15,75,97,1.14,ID,1674444078
347,khatanga,71.9667,102.5,-42.05,97,29,1.34,RU,1674444078
348,ambon,-3.6954,128.1814,32.08,66,40,4.12,ID,1674444079
349,kulhudhuffushi,6.6221,73.07,26.47,71,98,2.23,MV,1674444080
350,madang,-5.2246,145.7966,27.34,82,100,0.77,PG,1674444080
